"gender","children","country","motive","marital_status","age","madrid","london","paris"
"male","0","argentina","travel","single",23,"1","0","0"
"male","0","chile","travel","single",22,"1","0","0"
"male","0","argentina","travel","single",23,"1","0","0"
"male","0","chile","travel","single",24,"1","0","0"
"male","1","chile","travel","single",26,"1","0","1"
"male","1","peru","travel","single",21,"1","0","1"
"male","1","peru","travel","single",28,"1","0","1"
"male","0","argentina","bussiness","single",39,"0","1","0"
"female","1","chile","bussiness","single",41,"0","1","1"
"female","1","peru","travel","married",42,"1","0","1"
"female","1","argentina","travel","married",41,"1","0","1"
"female","1","chile","travel","married",47,"1","0","0"
"female","1","argentina","travel","married",63,"1","0","0"
"female","1","chile","travel","married",54,"1","0","0"
"female","1","argentina","travel","married",65,"1","0","0"
"female","1","chile","travel","married",54,"1","0","0"
"female","1","chile","travel","married",53,"1","0","0"
"female","1","argentina","travel","married",57,"1","0","0"
"female","0","peru","travel","widow/widower",51,"0","1","1"
"male","1","peru","travel","married",64,"1","0","1"
"male","1","peru","travel","married",52,"1","0","1"
"male","1","chile","travel","married",48,"1","0","1"
"male","1","peru","travel","married",49,"1","0","1"
"male","1","argentina","travel","married",43,"1","0","1"
"male","1","argentina","travel","married",57,"1","0","1"
"male","1","peru","travel","married",43,"1","0","1"
"male","1","argentina","travel","married",40,"1","1","1"
"male","1","peru","travel","married",36,"1","1","1"
"male","1","peru","travel","married",43,"1","1","1"
"male","1","peru","travel","married",35,"1","1","1"
"male","1","argentina","travel","married",33,"1","1","1"
"male","1","argentina","travel","married",40,"1","1","1"
"male","1","argentina","business","married",64,"0","1","1"
"male","1","peru","business","married",55,"0","1","1"
"male","1","argentina","business","married",54,"0","1","1"
"female","0","argentina","business","married",29,"0","0","1"
"female","0","argentina","business","married",30,"0","0","1"
"female","0","argentina","business","married",27,"0","0","1"
